Person_ID, Energy_Usage_kWh   , Transportation_Distance_km, Vehicle_Type    , Smart_Appliance_Usage_hours, Renewable_Energy_Usage_percent, Building_Type, Temperature_C         , Humidity_percent  , Carbon_Emission_kgCO2
        1, 19.9779257046734   ,      37.36408184666985    , Bus             ,          2.016079232034863 ,         60.93926309870537     , Commercial   , 32.36182888482099     , 71.90886421823167 ,   18.012027246328373
        2, 47.634286707675976 ,      33.291209623140325   , Bus             ,          1.6682910254682206,          3.89034677630975     , Commercial   , 14.72585218596852     , 81.67713125674217 ,   31.243122186132418
        3, 37.135709206947446 ,      17.615391250286006   , Electric Vehicle,          7.646111458180305 ,         61.226034087673455    , Residential  , -0.22671946839070856  , 52.42259127653007 ,   21.801931595088647
        4, 30.735607241457757 ,      60.726667010148795   , Car             ,         11.627279547420303 ,          8.966860676411626    , Commercial   , 26.83208933050463     , 40.24251121713853 ,   30.35354507230212
        5,  9.488894741236953 ,      47.66241605086289    , Car             ,          6.529934398501964 ,         71.03442385187473     , Commercial   , 10.933906784164787    , 42.319260204882305,   17.750116665992888
        6,  9.487736976137727 ,      86.57009923240037    , Walking         ,          1.5666674853323563,         39.00776465809306     , Residential  , 19.731374172624857    , 68.78637808550758 ,   18.99185676500444
        7,  4.788013384073574 ,       3.2109580482058253  , Electric Vehicle,          3.4334052168520177,         83.76964915685187     , Commercial   , -4.6367354913030585   , 59.72906237940473 ,    3.389200528958002
        8, 43.57645499719689  ,      64.38679275551263    , Walking         ,          3.6927219705734773,         94.25292452651306     , Commercial   , 21.579199475799612    , 54.054589168408   ,   36.502331009085765
        9, 30.853520563674024 ,      76.29488785115612    , Bus             ,          4.71642842050645  ,         41.7110341465609      , Commercial   , 8.677524447256218     , 34.19418551433218 ,   28.47402524387291
       10, 35.98748373421019  ,      75.94865691883071    , Car             ,          1.479637219448339 ,         46.05552954737462     , Residential  , 6.709487485924722     , 81.28189812492323 ,   33.525553338704526
       11,  2.9880557261985174,      88.60739670955252    , Walking         ,         10.953819705477079 ,         59.014758101285025    , Commercial   , 38.99577893889006     , 74.67143132551843 ,   10.535031220860061
       12, 48.55567290377573  ,      72.9033742829494     , Walking         ,          6.671203391936448 ,         19.713272185805053    , Residential  , 11.621532138012363    , 29.84470212174607 ,   46.51502312142479
       13, 41.95724675842024  ,      92.78100616476964    , Car             ,          8.3802387224952   ,         92.73328408283614     , Residential  , 23.901918905786708    , 45.717191822149566,   29.372662573987828
       14, 12.192277312557255 ,      33.26565998208915    , Bus             ,          1.7389012058450986,         43.29999265013726     , Residential  , 21.386376778692053    , 57.94924655472239 ,   11.685406086137716
       15, 10.72759842594083  ,      50.32094167515431    , Walking         ,          1.5952701458401433,         16.68203359160073     , Commercial   , -4.784822455742118    , 51.803703594007246,   20.145577090123197
       16, 10.803416472964823 ,       1.4079663282890675  , Walking         ,          7.451145492446019 ,         76.2731833418884      , Commercial   , 27.396376853215806    , 47.84570871164169 ,    5.4173264522400055
       17, 16.60362766205781  ,       0.6957587303291213  , Electric Vehicle,         10.760256115546289 ,         21.91513724439852     , Residential  , 6.157960171678827     , 70.31823282923705 ,    8.44231075663438
       18, 27.188308718347415 ,      24.012662045151988   , Electric Vehicle,          6.813302010555017 ,         14.352927507185498    , Residential  , 29.946977459836752    , 23.815245296648623,   20.43647304378568
       19, 22.73336089482156  ,      10.080719713908525   , Car             ,         10.656010898270786 ,         56.287207549400705    , Residential  , 20.382039130769122    , 52.99872373881593 ,   13.605154280304452
